entity_text,base_url,subdiv_name_proper,rayon_name_proper,oblast_name_proper,n
abay-urzhar-kokterek,https://www.gov.kz/memleket/entities/abay-urzhar-kokterek,Коктерекский сельский округ район Мақаншы,Урджарский район,область Абай,1
abay-urzhar-koktal,https://www.gov.kz/memleket/entities/abay-urzhar-koktal,Коктальский сельский округ район Мақаншы,Урджарский район,область Абай,1
abay-urzhar-karatuma,https://www.gov.kz/memleket/entities/abay-urzhar-karatuma,Каратуминский сельский округ район Мақаншы,Урджарский район,область Абай,1
abay-urzhar-akshoky,https://www.gov.kz/memleket/entities/abay-urzhar-akshoky,Акшокинский сельский округ район Урджар,Урджарский район,область Абай,1
abay-semey-zhienalin,https://www.gov.kz/memleket/entities/abay-semey-zhienalin,Жиеналинский сельский округ,город Семей,область Абай,1
abay-semey-akbulak,https://www.gov.kz/memleket/entities/abay-semey-akbulak,Акбулакский сельский округ,город Семей,область Абай,1
abay-semey-ozer,https://www.gov.kz/memleket/entities/abay-semey-ozer,Озёрский сельский округ,город Семей,область Абай,1
abay-semey-karaolen,https://www.gov.kz/memleket/entities/abay-semey-karaolen,Караоленский сельский округ,город Семей,область Абай,1
abay-semey-kokentau,https://www.gov.kz/memleket/entities/abay-semey-kokentau,Кокентауский сельский округ район Жаңасемей,город Семей,область Абай,1
abay-semey-ertis,https://www.gov.kz/memleket/entities/abay-semey-ertis,Иртышский сельский округ,город Семей,область Абай,1
abay-semey-dostyk,https://www.gov.kz/memleket/entities/abay-semey-dostyk,Достыкский сельский округ район Жаңасемей,город Семей,область Абай,1
abay-semey-ainabulak,https://www.gov.kz/memleket/entities/abay-semey-ainabulak,Айнабулакский сельский округ,город Семей,область Абай,1
abay-aksuat-ekpin,https://www.gov.kz/memleket/entities/abay-aksuat-ekpin,Екпинский сельский округ район Аксуат,район Аксуат,область Абай,1
abay-aksuat-qyzylkesek,https://www.gov.kz/memleket/entities/abay-aksuat-qyzylkesek,Кызылкесекский сельский округ район Аксуат,район Аксуат,область Абай,1
abay-aksuat-yrghyzbai,https://www.gov.kz/memleket/entities/abay-aksuat-yrghyzbai,Ыргызбайский сельский округ район Аксуат,район Аксуат,область Абай,1
abay-aksuat-satbaev,https://www.gov.kz/memleket/entities/abay-aksuat-satbaev,Сатпаевский сельский округ район Аксуат,район Аксуат,область Абай,1
abay-aksuat-oishylyq,https://www.gov.kz/memleket/entities/abay-aksuat-oishylyq,Ойшиликский сельский округ район Аксуат,район Аксуат,область Абай,1
abay-aksuat-qymkol,https://www.gov.kz/memleket/entities/abay-aksuat-qymkol,Кумгольский сельский округ район Аксуат,район Аксуат,область Абай,1
abay-aksuat-kindikti,https://www.gov.kz/memleket/entities/abay-aksuat-kindikti,Киндиктинский сельский округ район Аксуат,район Аксуат,область Абай,1
abay-aksuat-kokzhyra,https://www.gov.kz/memleket/entities/abay-aksuat-kokzhyra,Кокжиринский сельский округ район Аксуат,район Аксуат,область Абай,1
abay-aksuat-district,https://www.gov.kz/memleket/entities/abay-aksuat-district,Аксуатский сельский округ,район Аксуат,область Абай,1
abay-urzhar,https://www.gov.kz/memleket/entities/abay-urzhar/about/structure/departments/leadership/4865/1,Шолпанский сельский округ,Урджарский район,область Абай,16
abay-urzhar,https://www.gov.kz/memleket/entities/abay-urzhar/about/structure/departments/leadership/4864/1,Урджарский сельский округ,Урджарский район,область Абай,16
abay-urzhar,https://www.gov.kz/memleket/entities/abay-urzhar/about/structure/departments/leadership/4863/1,Салкынбельский сельский округ,Урджарский район,область Абай,16
abay-urzhar,https://www.gov.kz/memleket/entities/abay-urzhar/about/structure/departments/leadership/4862/1,Науалинский сельский округ,Урджарский район,область Абай,16
abay-urzhar,https://www.gov.kz/memleket/entities/abay-urzhar/about/structure/departments/leadership/4861/1,Баркытбельский сельский округ,Урджарский район,область Абай,16
abay-urzhar,https://www.gov.kz/memleket/entities/abay-urzhar/about/structure/departments/leadership/4858/1,Колдененский сельский округ,Урджарский район,область Абай,16
abay-urzhar,https://www.gov.kz/memleket/entities/abay-urzhar/about/structure/departments/leadership/4853/1,Коныршаулинский сельский округ,Урджарский район,область Абай,16
abay-urzhar,https://www.gov.kz/memleket/entities/abay-urzhar/about/structure/departments/leadership/4846/1,Кокозекский сельский округ,Урджарский район,область Абай,16
abay-urzhar,https://www.gov.kz/memleket/entities/abay-urzhar/about/structure/departments/leadership/4834/1,Каракольский сельский округ,Урджарский район,область Абай,16
abay-urzhar,https://www.gov.kz/memleket/entities/abay-urzhar/about/structure/departments/leadership/4816/1,Жогаргы Егинсуйский сельский округ,Урджарский район,область Абай,16
abay-urzhar,https://www.gov.kz/memleket/entities/abay-urzhar/about/structure/departments/leadership/4815/1,Ельтайский сельский округ,Урджарский район,область Абай,16
abay-urzhar,https://www.gov.kz/memleket/entities/abay-urzhar/about/structure/departments/leadership/4814/1,Егинсуский сельский округ,Урджарский район,область Абай,16
abay-urzhar,https://www.gov.kz/memleket/entities/abay-urzhar/about/structure/departments/leadership/4813/1,Жан тилекский сельский округ,Урджарский район,область Абай,16
abay-urzhar,https://www.gov.kz/memleket/entities/abay-urzhar/about/structure/departments/leadership/4802/1,Бестерекский сельский округ,Урджарский район,область Абай,16
abay-urzhar,https://www.gov.kz/memleket/entities/abay-urzhar/about/structure/departments/leadership/4785/1,Алтыншокинский сельский округ,Урджарский район,область Абай,16
abay-urzhar,https://www.gov.kz/memleket/entities/abay-urzhar/about/structure/departments/leadership/4764/1,Акжарский сельский округ,Урджарский район,область Абай,16
abay-kokpekti-ulgilimalshy,https://www.gov.kz/memleket/entities/abay-kokpekti-ulgilimalshy,Ульгулималшинский сельский округ,Кокпектинский район,область Абай,1
abay-kokpekti-terekti,https://www.gov.kz/memleket/entities/abay-kokpekti-terekti,Теректинский сельский округ,Кокпектинский район,область Абай,1
abay-kokpekti-kokzhaiyk,https://www.gov.kz/memleket/entities/abay-kokpekti-kokzhaiyk,Кокжайыкский сельский округ,Кокпектинский район,область Абай,1
